PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAwNjo0NXxOT1JE,22/10/2024 06:45,NORD,-359.1960000000,-,-739.0180000000,1079.5890000000,20250203,20250203
MjIvMTAvMjAyNCAxOToxNXxOT1JE,22/10/2024 19:15,NORD,-36.2600000000,-,-974.3600000000,1311.0290000000,20250203,20250203
MjIvMTAvMjAyNCAxOToxNXxTVUQ=,22/10/2024 19:15,SUD,-90.5620000000,-,974.3600000000,-197.6980000000,20250203,20250203
MjIvMTAvMjAyNCAwNDozMHxTVUQ=,22/10/2024 04:30,SUD,15.9410000000,+,554.7690000000,234.6880000000,20250203,20250203
MjIvMTAvMjAyNCAxMzo0NXxOT1JE,22/10/2024 13:45,NORD,41.8450000000,+,-224.2050000000,1065.6070000000,20250203,20250203
MjIvMTAvMjAyNCAyMDowMHxOT1JE,22/10/2024 20:00,NORD,-34.4630000000,-,-816.0770000000,1265.3520000000,20250203,20250203
MjIvMTAvMjAyNCAxNToxNXxTVUQ=,22/10/2024 15:15,SUD,-130.7760000000,-,333.2510000000,231.1360000000,20250203,20250203
MjIvMTAvMjAyNCAwMjoxNXxTVUQ=,22/10/2024 02:15,SUD,-30.3580000000,-,556.7720000000,236.9920000000,20250203,20250203
MjIvMTAvMjAyNCAwNTowMHxTVUQ=,22/10/2024 05:00,SUD,131.1290000000,+,576.6480000000,223.4770000000,20250203,20250203
MjIvMTAvMjAyNCAxODoxNXxTVUQ=,22/10/2024 18:15,SUD,-123.7620000000,-,951.2360000000,-212.3940000000,20250203,20250203
MjIvMTAvMjAyNCAxMTo0NXxTVUQ=,22/10/2024 11:45,SUD,15.6050000000,+,292.9610000000,220.4700000000,20250203,20250203
MjIvMTAvMjAyNCAxNzozMHxTVUQ=,22/10/2024 17:30,SUD,-177.8490000000,-,797.1130000000,-223.1600000000,20250203,20250203
MjIvMTAvMjAyNCAxNDozMHxTVUQ=,22/10/2024 14:30,SUD,-197.6820000000,-,362.3680000000,250.0190000000,20250203,20250203
MjIvMTAvMjAyNCAyMjo0NXxTVUQ=,22/10/2024 22:45,SUD,137.9800000000,+,765.9810000000,118.1210000000,20250203,20250203
MjIvMTAvMjAyNCAxNzowMHxTVUQ=,22/10/2024 17:00,SUD,-76.5400000000,-,702.7910000000,-90.9000000000,20250203,20250203
MjIvMTAvMjAyNCAxMTozMHxOT1JE,22/10/2024 11:30,NORD,191.7570000000,+,-272.5470000000,1036.0390000000,20250203,20250203
MjIvMTAvMjAyNCAxOTo0NXxOT1JE,22/10/2024 19:45,NORD,156.8460000000,+,-820.0110000000,1102.0010000000,20250203,20250203
MjIvMTAvMjAyNCAwMToxNXxTVUQ=,22/10/2024 01:15,SUD,-103.6960000000,-,569.2370000000,236.3670000000,20250203,20250203
