PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAwOToxNXxOT1JE,22/10/2024 09:15,NORD,77.0320000000,+,-222.2710000000,936.6220000000,20250203,20250203
MjIvMTAvMjAyNCAxMjozMHxOT1JE,22/10/2024 12:30,NORD,205.7410000000,+,-252.3760000000,1054.1570000000,20250203,20250203
MjIvMTAvMjAyNCAwNjowMHxTVUQ=,22/10/2024 06:00,SUD,144.3050000000,+,673.4390000000,23.6730000000,20250203,20250203
MjIvMTAvMjAyNCAyMTo0NXxTVUQ=,22/10/2024 21:45,SUD,165.4420000000,+,806.6260000000,110.3270000000,20250203,20250203
MjIvMTAvMjAyNCAyMjozMHxOT1JE,22/10/2024 22:30,NORD,14.0580000000,+,-806.4360000000,1248.6640000000,20250203,20250203
MjIvMTAvMjAyNCAwNTo0NXxOT1JE,22/10/2024 05:45,NORD,-127.1730000000,-,-586.1650000000,1198.3430000000,20250203,20250203
MjIvMTAvMjAyNCAwMDozMHxTVUQ=,22/10/2024 00:30,SUD,-160.6730000000,-,693.1780000000,216.1850000000,20250203,20250203
MjIvMTAvMjAyNCAwNjowMHxOT1JE,22/10/2024 06:00,NORD,233.3220000000,+,-673.4390000000,1102.8300000000,20250203,20250203
MjIvMTAvMjAyNCAyMTo0NXxOT1JE,22/10/2024 21:45,NORD,186.5370000000,+,-806.6260000000,1287.4140000000,20250203,20250203
MjIvMTAvMjAyNCAxODowMHxTVUQ=,22/10/2024 18:00,SUD,3.6630000000,+,893.8400000000,-210.3300000000,20250203,20250203
MjIvMTAvMjAyNCAwNzozMHxTVUQ=,22/10/2024 07:30,SUD,-83.5690000000,-,588.8360000000,-171.8130000000,20250203,20250203
MjIvMTAvMjAyNCAxNjoxNXxOT1JE,22/10/2024 16:15,NORD,58.3250000000,+,-486.0140000000,975.6530000000,20250203,20250203
MjIvMTAvMjAyNCAwMDowMHxTVUQ=,22/10/2024 00:00,SUD,-12.9600000000,-,558.9790000000,211.2410000000,20250203,20250203
MjIvMTAvMjAyNCAxOTowMHxTVUQ=,22/10/2024 19:00,SUD,-71.5480000000,-,957.6790000000,-199.9570000000,20250203,20250203
MjIvMTAvMjAyNCAyMzoxNXxOT1JE,22/10/2024 23:15,NORD,-96.5690000000,-,-786.1410000000,1270.5560000000,20250203,20250203
MjIvMTAvMjAyNCAxNDozMHxOT1JE,22/10/2024 14:30,NORD,53.2750000000,+,-362.3680000000,1049.5250000000,20250203,20250203
MjIvMTAvMjAyNCAwOTozMHxTVUQ=,22/10/2024 09:30,SUD,99.1750000000,+,225.2920000000,219.8030000000,20250203,20250203
MjIvMTAvMjAyNCAwMzo0NXxTVUQ=,22/10/2024 03:45,SUD,47.2100000000,+,555.1830000000,236.3030000000,20250203,20250203
MjIvMTAvMjAyNCAyMDowMHxTVUQ=,22/10/2024 20:00,SUD,-98.7500000000,-,816.0770000000,-20.3550000000,20250203,20250203
MjIvMTAvMjAyNCAwMTowMHxTVUQ=,22/10/2024 01:00,SUD,-122.5590000000,-,592.5190000000,237.2950000000,20250203,20250203
MjIvMTAvMjAyNCAyMzozMHxTVUQ=,22/10/2024 23:30,SUD,74.0360000000,+,758.5050000000,121.7750000000,20250203,20250203
MjIvMTAvMjAyNCAxNDowMHxTVUQ=,22/10/2024 14:00,SUD,1.5630000000,+,223.7610000000,248.4290000000,20250203,20250203
MjIvMTAvMjAyNCAxNzo0NXxTVUQ=,22/10/2024 17:45,SUD,-244.8860000000,-,886.3310000000,-220.4730000000,20250203,20250203
MjIvMTAvMjAyNCAyMjowMHxOT1JE,22/10/2024 22:00,NORD,-140.7230000000,-,-833.6140000000,1291.8990000000,20250203,20250203
MjIvMTAvMjAyNCAwNjozMHxTVUQ=,22/10/2024 06:30,SUD,-16.1880000000,-,804.5550000000,-124.2780000000,20250203,20250203
MjIvMTAvMjAyNCAxNTo0NXxTVUQ=,22/10/2024 15:45,SUD,-220.2900000000,-,358.5750000000,219.8490000000,20250203,20250203
MjIvMTAvMjAyNCAwMzoxNXxTVUQ=,22/10/2024 03:15,SUD,43.9010000000,+,508.8620000000,237.4650000000,20250203,20250203
MjIvMTAvMjAyNCAxMTowMHxTVUQ=,22/10/2024 11:00,SUD,50.8920000000,+,241.0160000000,222.4770000000,20250203,20250203
MjIvMTAvMjAyNCAxNTowMHxTVUQ=,22/10/2024 15:00,SUD,-68.4730000000,-,335.2140000000,229.3400000000,20250203,20250203
MjIvMTAvMjAyNCAyMzozMHxOT1JE,22/10/2024 23:30,NORD,13.8080000000,+,-758.5050000000,1210.1160000000,20250203,20250203
MjIvMTAvMjAyNCAxMDowMHxTVUQ=,22/10/2024 10:00,SUD,47.9440000000,+,221.8200000000,221.5070000000,20250203,20250203
